"GeneSymbol","G401_Empty_Day3_A","G401_Empty_Day3_B","G401_BAF47_Day3_A","G401_BAF47_Day3_B"
"A1BG",374,313,297,261
"A1BG-AS1",296,286,206,214
"A1CF",494,481,31,33
"A2M",4,6,75,132
"A2M-AS1",0,0,5,5
"A2ML1",1,0,3,0
"A2MP1",0,0,0,0
"A3GALT2",0,0,0,0
"A4GALT",113,54,268,267
"A4GNT",1,1,1,2
"AA06",0,0,0,0
"AAAS",2046,1979,1431,1614
"AACS",768,648,855,1011
"AACSP1",0,0,1,0
"AADAC",0,0,0,0
"AADACL2",0,0,0,0
"AADACL2-AS1",0,0,0,0
"AADACL3",0,0,1,0
"AADACL4",0,0,2,1
"AADACP1",1,0,1,4
"AADAT",131,121,107,127
"AAED1",297,296,229,256
"AAGAB",4121,3677,2811,3520
"AAK1",845,771,1705,1566
"AAMDC",299,280,486,520
"AAMP",4760,4399,3310,3812
"AANAT",3,1,11,8
"AAR2",1652,1564,938,1138
"AARD",0,0,1,0
"AARS",3680,2564,2925,2326
"AARS2",1606,1739,1172,1157
"AARSD1",997,1010,683,798
"AASDH",289,288,303,359
"AASDHPPT",1663,1590,882,761
"AASS",30,39,140,136
"AATBC",7,12,8,4
"AATF",2880,2737,1194,1752
"AATK",143,109,134,165
"AATK-AS1",0,0,1,1
"ABALON",1432,1269,1650,1676
"ABAT",219,180,1103,945
"ABCA1",1286,1279,1375,515
"ABCA10",31,38,24,16
"ABCA11P",381,361,234,255
"ABCA12",6,6,55,30
"ABCA13",2,2,6,2
"ABCA17P",9,9,6,6
"ABCA2",1024,1064,1102,1043
"ABCA3",1092,997,2149,2120
"ABCA4",3,0,168,163
"ABCA5",990,1101,447,424
"ABCA6",14,12,2,3
"ABCA7",408,427,518,466
"ABCA8",1,2,3,0
"ABCA9",22,38,4,11
"ABCA9-AS1",0,0,0,0
"ABCB1",0,3,0,0
"ABCB10",453,391,466,300
"ABCB11",0,0,2,0
"ABCB4",1,1,0,1
"ABCB5",1,2,0,1
"ABCB6",325,335,245,247
"ABCB7",630,628,833,952
"ABCB8",1074,1119,831,783
"ABCB9",556,605,210,230
"ABCC1",2411,2266,2197,2222
"ABCC10",325,337,434,472
"ABCC11",6,6,5,3
"ABCC12",1,0,1,0
"ABCC13",0,0,0,1
"ABCC2",10,6,11,9
"ABCC3",1,1,15,4
"ABCC4",957,833,2776,2913
"ABCC5",1445,1642,1077,941
"ABCC5-AS1",0,0,0,0
"ABCC6",234,226,381,412
"ABCC6P1",57,48,196,182
"ABCC6P2",106,84,134,168
"ABCC8",19,34,61,50
"ABCC9",0,0,1,0
"ABCD1",284,257,220,226
"ABCD2",1,0,2,0
"ABCD3",474,434,661,498
"ABCD4",712,780,873,916
"ABCE1",4363,4234,1965,1653
