"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_ADIPOGENESIS",0.0195181444521687,0.0271085339613454,0.352487857583619,0.364205532256803,1.35632385962401,173,"HSPB8;GPX3;APLP2;SUCLG1;STOM;IFNGR1;NABP1;PFKFB3;FZD4;CD151;MGST3;BCL6;AGPAT3;SULT1A1;ALDH2;MYLK;ITGA7;PHLDB1;SPARCL1;ACADS;DNAJC15;ATP1B3;ADCY6;ELOVL6;PPM1B;DECR1;ITSN1;APOE;SLC5A6;C3;ESYT1;UQCRC1;GPD2;SORBS1;COL4A1;PGM1;RTN3;ACAA2;SSPN;TANK;CPT2;CDKN2C;COQ5;PDCD4;TALDO1;MGLL;SCARB1"
"HALLMARK_ALLOGRAFT_REJECTION",0.0574866310160428,0.0737008089949266,0.216542836735348,0.3637742843981,1.30123199579031,128,"CDKN2A;CSF1;RIPK2;CD74;FLNA;B2M;HCLS1;IFNGR1;IL4R;THY1;GALNT1;TNF;IL27RA;CAPG;CTSS;CCND2;GCNT1;LTB;IL18;HDAC9;STAB1;IL12A;EIF4G3;TAPBP;HLA-DRA;CCL2;HLA-DMB;IL15;HIF1A;PTPN6;HLA-DMA;LYN;TAP2;GBP2;MAP4K1;CD47;IL2RB;IRF7;ITGB2"
"HALLMARK_ANDROGEN_RESPONSE",0.0028234438379918,0.00470573972998633,0.431707695803346,0.480417050636028,1.63509589331743,86,"HMGCS1;ABCC4;UBE2J1;AKAP12;GPD1L;B2M;ACTN1;ABHD2;STK39;CDK6;PTPN21;B4GALT1;ZMIZ1;KRT19;SEC24D;DHCR24;ARID5B;SLC26A2;TSC22D1;ACSL3;PDLIM5;NKX3-1;APPBP2;SMS;CCND1"
"HALLMARK_ANGIOGENESIS",0.00414484816362481,0.0066852389735884,0.407017918923954,0.614089872223731,1.71035241544089,26,"FSTL1;COL3A1;S100A4;SLCO2A1;VEGFA;LRPAP1;APP;FGFR1;CCND2;VAV2;TNFRSF21;NRP1;POSTN;PDGFA;OLR1;COL5A2;VTN"
"HALLMARK_APICAL_JUNCTION",9.48883741199038e-12,6.77774100856456e-11,0.875325132024659,0.579494188461855,2.16109636884176,175,"COL17A1;LIMA1;FBN1;CDH1;JUP;ITGA3;ACTN4;LAMB3;LAMA3;BMP1;COL16A1;MYH9;PARVA;ACTN1;CD276;THY1;CERCAM;SHROOM2;NEXN;CD99;EPB41L2;THBS3;ADAM15;MYL9;B4GALT1;IRS1;CTNNA1;VWF;SGCE;ACTB;CX3CL1;MYH10;SLC30A3;YWHAH;ADRA1B;TRAF1;KCNH2;PIK3R3;MMP2;VAV2;CDSN;MPZL1;CNN2;ACTG1;CLDN4;SDC3;SPEG;MSN;CLDN6;TGFBI;CTNND1;AKT3;FSCN1;TRO;TSC1;ADAM23;ADAMTS5;FLNC;INPPL1;TMEM8B;COL9A1;GNAI2;CLDN9;SKAP2;NFASC;ACTN2;NF1;PTEN;CD274;LAMC2;PIK3CB;ACTC1"
"HALLMARK_APICAL_SURFACE",0.000826515810643581,0.00179677350139909,0.477270815362862,0.608435833621806,1.81925927881948,40,"SULF2;MDGA1;DCBLD2;THY1;SHROOM2;APP;FLOT2;B4GALT1;EFNA5;CX3CL1;SCUBE1;ADAM10;ATP8B1;SRPX;TMEM8B;ATP6V0A4;GATA3;LYN"
"HALLMARK_APOPTOSIS",8.28568539075752e-05,0.000230157927521042,0.538434096309916,0.478057914690435,1.73777894388599,140,"ANXA1;JUN;GPX3;NEDD9;IGFBP6;PEA15;TIMP2;BCL2L11;CASP3;CLU;SPTAN1;BTG3;DAP;IFNGR1;PDGFRB;ERBB2;PLAT;APP;BMF;SMAD7;TNF;CDK2;SC5D;HMGB2;PPP2R5B;MMP2;GSN;CCND2;PSEN1;CASP7;IGF2R;ADD1;XIAP;PSEN2;IRF1;BCL2L1;IL18;BNIP3L;TNFRSF12A;CDKN1A;CCND1;CYLD;IL1A;CD44;BAX;AIFM3"
"HALLMARK_BILE_ACID_METABOLISM",0.335607094133697,0.36479031971054,0.0799858801499946,0.318840625027458,1.07569788442283,82,"HSD17B11;BCAR3;ABCA3;ACSL5;ABCA4;OPTN;HSD17B6;IDH2;PRDX5;DHCR24;SLC27A2;APOA1;ACSL1;SLC35B2;NPC1"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0613668061366806,0.0767085076708508,0.213927855492356,0.406472018390296,1.33748666958879,68,"LGMN;HMGCS1;SEMA3B;GLDC;CLU;TM7SF2;ALCAM;GPX8;SC5D;SREBF2;ACTG1;TNFRSF12A;STARD4;NFIL3;LSS;PDK3;CHKA;MVK;PLSCR1;CXCL16;FDFT1;CTNNB1"
"HALLMARK_COAGULATION",1.42593654344274e-07,7.12968271721369e-07,0.690132458796796,0.589418872609338,2.07013560749346,102,"SPARC;ANXA1;PRSS23;FBN1;LGMN;SERPING1;PROS1;BMP1;FURIN;CLU;MMP15;PLAT;HTRA1;A2M;CTSB;LRP1;ITGB3;VWF;MMP14;CTSV;C1S;FN1;S100A1;THBS1;MMP2;GSN;S100A13;CSRP1;MMP7;C1R;LEFTY2;MSRB2;F3;C3;APOA1;FYN;CTSE;KLF7;CTSH;CAPN5;OLR1;HPN;RAPGEF3;USP11;CAPN2;WDR1;CD9"
