"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LAMB1",3317.71477589226,6.06534518301289,0.163286470971902,37.1454239099612,5.19701269069833e-302,8.60209540564387e-298
"LTBP1",2275.17900267439,4.47420152085993,0.143092970606135,31.2677939517742,1.27933497189817e-214,1.05877762274292e-210
"FSTL1",5403.46740837396,3.72170413347642,0.12148133363739,30.6360164318359,4.05823212387398e-206,2.2390619371454e-202
"TPM1",16553.1437270175,3.10822706988483,0.116220970895164,26.7441155063879,1.44556956463047e-157,5.9817668584409e-154
"COL17A1",917.009014976229,5.33825499202187,0.209311202087873,25.503914452609,1.78369536637779e-143,5.90474514085703e-140
"HEG1",1466.72838460864,3.86366488642574,0.15313026446756,25.2312297628418,1.82029177363683e-140,5.02157823953946e-137
"PMEL",2243.83095402551,3.83804396767622,0.157059539316166,24.4368726941833,6.94003336067174e-132,1.64102045979769e-128
"FILIP1L",987.04159441961,6.90988919149147,0.286031375896487,24.1578014643824,6.18227453870723e-129,1.27911260205853e-125
"EXT1",2041.32348973039,3.24398486668291,0.13557852368374,23.9269817854784,1.60473038064202e-126,2.95127747337631e-123
"KHDC1L",1889.31196002447,-3.27791312664689,0.137949577812935,-23.7616756688584,8.32191687444398e-125,1.37744368105797e-121
"TINAGL1",1077.45712539936,4.26039532456941,0.180822714393772,23.5611733783162,9.64400135218437e-123,1.45115918528505e-119
"SPARC",17928.6907153228,2.71717321825825,0.115833945058367,23.4574866364874,1.1086758616719e-121,1.52923357186611e-118
"PROCR",17689.2343839543,-2.75511185066758,0.120429790481085,-22.8773282728604,7.81431220009129e-116,9.94942273353162e-113
"RFTN1",970.55750055469,4.03585694022939,0.177199505038223,22.7757799851576,7.97092962672052e-115,9.42391622724844e-112
"IL32",1391.88201124164,4.87925680050697,0.215507668213327,22.6407572452461,1.72062351956813e-113,1.89865069972611e-110
"ANXA1",861.799104509409,6.51727242210115,0.288508097761642,22.5895649815887,5.48854332080439e-113,5.67789806537214e-110
"PKDCC",1814.31920242048,3.60902703912203,0.161218633070757,22.3859176224256,5.39829062481139e-111,5.25602978952224e-108
"JUN",849.611015479301,3.97838553191232,0.17928494194879,22.1902937785411,4.26200282273888e-109,3.919148373443e-106
"MATN2",806.950981581007,6.18386543858666,0.278940773113955,22.1690983700701,6.8264084769017e-109,5.94687963735142e-106
"ZSCAN4",1453.16111448885,-3.2213028559346,0.145884798522894,-22.0811413426949,4.79816106781524e-108,3.97095809972389e-105
"L1CAM",2642.4133512211,2.84993406026825,0.129324103984792,22.0371452223894,1.26890041489195e-107,1.00013522225198e-104
"FHL1",988.775650642102,4.78125142346216,0.221165403418013,21.6184418971957,1.20476326550916e-103,9.06420071395799e-101
"PRSS23",6524.95488504321,2.8217841109789,0.13057101834249,21.6111059467831,1.41225251033595e-103,1.01633058917742e-100
"EPAS1",870.184275526488,4.41145971155238,0.208558058399081,21.1521901642896,2.63423368788919e-99,1.81674316674758e-96
"PIM1",4060.97893928416,-2.62003441770331,0.124434336198321,-21.055558278766,2.03373280861588e-98,1.3464938179284e-95
"TRIM49D2",1962.96693164051,-2.97262002768872,0.141378437876778,-21.0259787300775,3.79486525193654e-98,2.41586960192514e-95
"TAC3",617.354350871277,-4.56841973760219,0.217557663962326,-20.9986614785186,6.74594762757918e-98,4.13551574561817e-95
"SGK223",639.726060797804,4.54259321423062,0.219154847898684,20.7277788184301,1.94565017462324e-95,1.11329328950527e-92
"WFDC21P",676.195620324307,6.79133977579542,0.327646271322714,20.727657752303,1.95055010848556e-95,1.11329328950527e-92
"TRIM49D1",1899.676002864,-2.95081275173425,0.142550195815121,-20.7001662457291,3.45177700492027e-95,1.90446043284801e-92
"LIMA1",3158.90812391863,3.03311179722433,0.147756264618036,20.5278050650862,1.21542330054772e-93,6.48957628085997e-91
"FBN1",3056.30044584113,2.76078471881014,0.13520955399395,20.4185624259486,1.14380758288527e-92,5.91634472247404e-90
"MFGE8",11318.940073843,2.31703304958847,0.113535507242318,20.4080036797937,1.41965821854178e-92,7.12066146463744e-90
"CDK18",1287.97809203564,3.09599665817103,0.153076496978742,20.225160094962,5.87992740026618e-91,2.86248700968252e-88
"LHX6",902.058125170337,-3.35220794278869,0.166085097111262,-20.1836769288397,1.36226098320785e-90,6.4423267983018e-88
"GPNMB",599.379797951422,4.39551081131367,0.218306296159076,20.1346039424843,3.67237090331941e-90,1.68847453310397e-87
"KRT80",635.794321166218,4.1482418401829,0.207735545880554,19.9688590731992,1.02774204089745e-88,4.59761790836069e-86
